#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-20T11:15:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e1190354ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgas}&key:source=I/337/tgas&HTTPPRM:&
#-c=19 16 22.1 -16 15 00.0
#-c.eq=J2000
#-c.r=  120
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgas
#-order=I
#-out.orig=standard
#-out=HIP
#-out=TYC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=289.092083-16.250000,rm=120.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgas:
#Name: I/337/tgas
#Title: TGAS: Subset of GaiaSource comprising those stars in the Hipparcos and Tycho-2 Catalogues for which a full
#5-parameter astrometric solution has been possible in Gaia Data Release
#(TgasSource) ({\bf Download } Tgas Sources as vo tables, fits or csv
#\W{xplain}{http://1016243957.rsc.cdn77.org/Gaia/tgas_source/}{here})
# (\originalcolumnnames)
#Column	_r	(F8.4)	Distance from center (289.0920833333-16.2500000000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	TYC2	(A12)	Tycho 2 identifier (\original{tycho2_id})	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;HIP;TYC2;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
 13.2924;      ;6296-427-1  ;288.8673199260;-16.1999470466;  0.29; 0.58;   -1.445; 2.905;   -0.156; 2.678
 13.7274;      ;6296-2012-1 ;289.2496953976;-16.4216642301;  3.98; 0.44;  -17.551; 5.640;  -40.924; 4.939
 13.8892;      ;6296-312-1  ;288.9392110448;-16.4290694870;  1.61; 0.37;   -0.424; 3.661;  -10.380; 3.373
 14.1579;      ;6296-1341-1 ;289.2322408443;-16.0562060519;  3.01; 0.26;    1.144; 2.996;  -26.443; 2.784
 14.3928;      ;6296-1923-1 ;289.2906243277;-16.1044547551;  1.18; 0.42;    0.032; 3.582;   -6.622; 3.286
 14.5900;      ;6296-612-1  ;288.8426594387;-16.2924501998;  0.28; 0.41;    3.529; 3.500;    4.614; 3.514
 14.9113;      ;6296-1902-1 ;289.1225043442;-16.4968010800;  2.96; 0.25;    1.323; 4.009;  -25.340; 3.519
 14.9770;      ;6296-1711-1 ;289.3492970353;-16.2136839478;  3.58; 0.25;   -0.643; 1.867;  -25.382; 1.787
 15.5290;      ;6296-438-1  ;288.8502702172;-16.3645562405;  3.56; 0.26;   -4.777; 3.058;  -30.231; 2.793
 15.6924;      ;6296-1277-1 ;289.3326668170;-16.1274353942;  2.25; 0.23;   -3.207; 2.257;  -27.414; 2.162
 16.0506;      ;6296-1965-1 ;289.1196443428;-16.5162006880;  1.37; 0.43;   -1.784; 4.982;   -5.222; 4.624
 16.2003; 94635;            ;288.8588187651;-16.0992933538;  3.51; 0.34;   -0.988; 0.044;  -26.731; 0.027
 16.5236;      ;6296-1501-1 ;288.8547783057;-16.4048507870;  0.53; 0.37;    5.433; 3.693;    5.462; 3.430
 16.7277;      ;6296-219-1  ;288.8141968162;-16.3311274192;  2.68; 0.48;   -0.427; 1.433;  -27.794; 1.778
 16.7395;      ;6296-1262-1 ;289.2971281703;-16.0523982582;  3.35; 0.34;   -0.481; 0.573;  -27.614; 0.718
 17.4649;      ;6296-1582-1 ;289.3093301033;-16.4531588248;  0.98; 0.37;   -1.024; 3.158;   -8.518; 2.898
 18.7431;      ;6296-1808-1 ;289.3091558191;-16.4828204977;  0.23; 0.50;    4.771; 3.852;    8.208; 3.586
 18.9570;      ;6296-1796-1 ;289.1834560190;-16.5535471197;  3.17; 0.26;   -6.620; 2.168;  -20.221; 1.981
 19.1733;      ;6296-1814-1 ;289.0819011550;-16.5694052834;  3.00; 0.37;   -1.172; 0.312;  -26.486; 0.387
 19.2625;      ;6296-1000-1 ;289.2492197092;-15.9666692289;  4.69; 0.23;    2.117; 1.933;   -7.967; 1.965
 19.4733;      ;6296-214-1  ;288.8714881910;-16.4960505981;  3.98; 0.57;   -4.344; 2.926;   -0.677; 2.667
 19.5525;      ;6296-2008-1 ;289.2885075193;-15.9843216469;  0.55; 0.45;   -1.552; 4.475;   -4.269; 4.095
 19.5915;      ;6296-268-1  ;288.7521303560;-16.2402532640;  2.90; 0.30;    0.668; 2.888;  -25.965; 2.656
 19.9236;      ;6296-1786-1 ;289.2642849690;-15.9620889608;  1.09; 0.26;   -0.735; 2.515;   -3.710; 2.282
 20.0474;      ;6296-1005-1 ;289.4401111626;-16.2506662533;  2.16; 0.36;    7.013; 3.592;   -6.199; 3.279
 20.3102;      ;6296-1907-1 ;289.0877577669;-16.5884784061;  0.83; 0.28;   -3.064; 2.809;  -10.224; 2.608
 20.4118;      ;6296-181-1  ;288.9278762375;-16.5515277983;  3.35; 0.94;   -1.194; 2.554;  -27.853; 2.574
 20.4424;      ;6296-564-1  ;288.9011099974;-15.9629165408;  3.48; 0.26;   -2.397; 1.724;  -28.153; 1.554
 20.4614;      ;6296-733-1  ;288.8190417071;-16.0320392498;  0.35; 0.31;    4.274; 2.311;   -5.689; 2.188
 21.1972;      ;6296-622-1  ;288.7286662758;-16.3058245014;  1.15; 0.33;   -8.309; 3.884;  -16.888; 3.592
 22.1541;      ;6296-1402-1 ;289.3632375198;-15.9883185613;  1.20; 0.34;   -0.578; 4.704;   -4.964; 4.696
 22.1842;      ;6296-1060-1 ;289.3881279652;-16.0137191232;  1.72; 0.31;   -1.396; 3.945;  -22.110; 3.942
 22.3037;      ;6296-1375-1 ;289.4609592669;-16.3633137942;  1.70; 0.34;    0.133; 0.748;   -7.101; 0.740
 22.3679;      ;6296-418-1  ;288.9247232362;-16.5864627354;  0.57; 0.32;    8.925; 4.749;    4.624; 4.202
 22.3941;      ;6296-212-1  ;288.7039086639;-16.2709527510;  2.21; 0.28;   -1.729; 3.506;   16.227; 3.108
 22.4241;      ;6296-1896-1 ;289.2065575817;-16.6072417017;  1.36; 0.35;    0.577; 0.689;   -3.143; 0.764
 22.5984;      ;6296-1914-1 ;289.1023750513;-16.6265110301;  1.36; 0.49;   -1.833; 1.553;   -3.424; 1.614
 22.9470;      ;6296-230-1  ;288.6974515443;-16.3025988310;  1.58; 0.45;   -2.520; 4.974;   -4.973; 4.051
 23.3400;      ;6296-1924-1 ;289.0431575695;-16.6361597902;  1.47; 0.26;   14.326; 9.864;   13.770; 8.686
 23.4585;      ;6296-2025-1 ;289.1359007913;-15.8612994462;  1.85; 0.23;   10.819; 1.736;   -1.389; 1.654
 23.4882;      ;6296-885-1  ;289.0185307703;-15.8649640659;  3.58; 0.25;   -2.240; 1.767;   -7.960; 1.578
 23.6856;      ;6296-627-1  ;288.7678090044;-16.0075192363;  0.76; 0.30;    4.767; 1.576;   -7.367; 1.456
 23.7138;      ;6296-1962-1 ;289.4880356646;-16.3585608277;  0.90; 0.40;    1.212; 5.302;    1.244; 4.230
 23.8642;      ;6296-1543-1 ;289.4969994979;-16.3345025033; 12.45; 0.38;   -3.189; 5.051;  -61.974; 4.030
 23.9356;      ;6296-1982-1 ;289.1327294343;-16.6470168533;  1.35; 0.35;  -13.387; 3.789;   -5.508; 3.072
 24.1608;      ;6296-1979-1 ;289.4482784120;-16.4629295635;  2.25; 0.53;   -1.965; 3.193;  -11.454; 2.919
 24.1620;      ;6296-1876-1 ;289.2700806602;-16.6147178693;  3.12; 0.25;    1.155; 2.982;  -24.642; 2.625
 24.2813;      ;6296-1514-1 ;289.4901215325;-16.1171626854;  6.85; 0.47;  -37.284; 4.560;  -61.570; 4.583
 24.4556;      ;6296-1764-1 ;289.3693883747;-16.5588160051;  2.66; 0.30;    0.505; 1.610;  -29.567; 1.344
 24.5904;      ;6296-587-1  ;288.8337348093;-15.9238859853;  2.25; 0.42;    8.220; 3.605;   -0.210; 3.280
 25.0152;      ;6296-330-1  ;288.7315795278;-16.0178466999;  9.90; 0.28;   -1.530; 1.202;  -28.922; 1.116
 25.2551; 94823;            ;289.4165969453;-15.9672082800;  6.94; 0.27;   23.244; 0.078;  -17.556; 0.043
 25.2941;      ;6296-239-2  ;288.7568923269;-15.9779300287;  1.76; 0.28;    1.092; 0.871;   -1.699; 0.842
 25.3694;      ;6296-239-1  ;288.7564006998;-15.9765467648;  1.71; 0.32;    0.629; 0.689;   -2.385; 0.710
 25.8484;      ;6296-1847-1 ;289.0719974620;-15.8196259337;  1.52; 0.30;   -0.843; 2.772;    0.558; 2.502
 25.8805;      ;6296-1228-1 ;289.5407617459;-16.2729822159;  3.41; 0.28;   -0.940; 0.855;  -26.861; 0.754
 25.9149;      ;6296-246-1  ;288.6925302188;-16.0518571738;  1.03; 0.49;    7.054; 3.350;   -1.759; 3.007
 26.1491;      ;6296-505-1  ;288.9065378973;-15.8523291593;  2.50; 0.33;   -4.545; 2.033;  -10.615; 1.895
 26.2564;      ;6296-970-1  ;289.3898098056;-15.9188462143;  0.76; 0.30;   -6.112; 1.446;   22.787; 1.399
 26.6448;      ;6296-296-1  ;288.7429259193;-16.5415649535;  0.94; 0.33;   -0.272; 5.918;   -5.318; 5.253
 26.9628;      ;6296-713-1  ;288.6526198711;-16.0957322993;  0.51; 0.60;    2.451; 4.026;   -2.260; 3.756
 27.1089;      ;6296-874-1  ;289.1255639051;-16.7006726283;  0.43; 0.24;   -5.535; 5.287;  -10.563; 4.637
 27.3856;      ;6296-866-1  ;289.2510022254;-16.6802310385;  0.72; 0.31;   -3.928; 3.934;   -0.428; 3.546
 27.6671;      ;6296-1885-1 ;289.4584539769;-15.9521284559;  1.42; 0.53;   -3.877; 3.384;   -1.556; 3.190
 28.0785;      ;6296-213-1  ;288.8152579592;-15.8649918961;  5.48; 0.26;   45.218; 2.035;  -49.637; 1.897
 28.1155;      ;6296-1169-1 ;289.3528871531;-15.8540695052;  2.05; 0.24;   10.255; 2.495;   11.516; 2.295
 28.4398;      ;6296-1976-1 ;289.4138069285;-16.6097876458;  2.82; 0.25;    0.397; 1.885;  -25.328; 1.698
 28.5772;      ;6296-435-1  ;288.7885541089;-15.8734732173;  3.27; 0.33;    0.344; 2.943;  -26.828; 2.701
 28.7255;      ;6296-303-1  ;288.8290392149;-16.6569003066;  3.01; 0.53;   -1.439; 2.715;  -25.190; 2.666
 29.0014;      ;6296-270-1  ;288.6104945803;-16.1095892710;  3.36; 0.24;   -0.965; 2.082;  -26.793; 1.947
 29.1130;      ;6296-320-1  ;288.7980973665;-16.6448870612;  1.10; 0.30;   -2.543; 3.098;   -8.450; 2.932
 29.2457;      ;6296-144-1  ;288.7666574358;-16.6243844611;  0.97; 0.33;   -5.488; 2.614;   -9.339; 2.480
 29.5234;      ;6296-586-1  ;288.8763657272;-16.6964622700;  0.89; 0.36;   -4.961; 2.126;   -2.450; 2.016
 29.6723;      ;6296-527-1  ;288.5770606255;-16.2411559670;  0.79; 0.39;    1.625; 2.507;   -4.128; 2.367
 29.8689;      ;6296-1944-1 ;289.5481455278;-16.4873725149;  3.21; 0.25;   -1.249; 2.047;  -26.725; 1.865
 29.9209;      ;6296-1215-1 ;288.9974494425;-15.7596856048; -0.04; 0.37;    4.292; 3.413;    6.909; 3.203
 30.2917;      ;6296-484-1  ;288.5663650973;-16.2384975312;  2.88; 0.25;    7.519; 1.787;  -17.734; 1.607
 30.3494;      ;6296-263-1  ;288.7513253994;-15.8644811110;  0.89; 0.26;  -10.180; 2.087;   -4.681; 1.910
 30.5525; 94855;            ;289.5231489785;-15.9537408800;  2.77; 0.35;    9.341; 0.123;   -0.548; 0.078
 30.7597;      ;6296-161-1  ;288.8799957735;-15.7796124063;  0.20; 0.36;    8.704; 3.800;    0.768; 3.442
 30.7753;      ;6296-591-1  ;288.5713731795;-16.3654474998;  1.56; 0.42;  -10.245; 5.256;  -12.469; 4.683
 30.9642;      ;6296-92-1   ;289.1222503258;-16.7652593167;  3.67; 0.23;   -2.683; 3.365;  -28.082; 2.985
 30.9877;      ;6296-1301-1 ;289.6300070593;-16.2451799450;  3.19; 0.27;   -0.549; 3.093;  -26.752; 3.096
 31.1911;      ;6296-304-1  ;288.7796868046;-16.6748445648;  1.70; 0.38;    1.546; 2.447;   -6.106; 2.341
 31.3220;      ;6296-449-1  ;288.8876920219;-15.7663464029;  2.84; 0.32;   11.809; 2.995;    2.317; 2.724
 31.3377;      ;6296-419-1  ;288.9447705637;-15.7472684224;  2.12; 0.25;   18.297; 2.676;    3.646; 2.432
 31.6764;      ;6296-237-1  ;288.5739525686;-16.0737556419;  1.11; 0.43;    4.648; 4.505;   -9.505; 4.166
 31.9265;      ;6296-1517-1 ;289.6073567790;-16.0546009568;  2.83; 0.26;    5.097; 2.293;  -19.206; 2.310
 31.9403;      ;6296-1859-1 ;289.5968415029;-16.0302459976;  0.13; 0.57;   -1.198; 2.314;   -0.141; 2.388
 32.3572;      ;6296-1201-1 ;289.1255054555;-15.7116715088;  3.04; 0.27;   13.655; 2.848;   -0.496; 2.858
 32.4736;      ;6296-1956-1 ;289.4764463289;-16.6462773407;  0.96; 0.32;   -5.008; 2.905;   -4.309; 2.656
 32.4831;      ;6296-673-1  ;288.5703378106;-16.4560583396;  1.83; 0.29;    2.534; 2.193;   -4.674; 2.082
 32.9356;      ;6296-1723-1 ;289.6073938644;-16.0127747073;  4.28; 0.28;   -1.788; 3.763;  -32.514; 3.757
 32.9435;      ;6296-932-1  ;289.3367323190;-16.7464260425;  3.42; 0.30;  -19.032; 3.775;   -6.175; 3.401
 33.4509;      ;6296-48-1   ;288.8681662764;-16.7645218560;  0.72; 0.29;    1.576; 3.007;   -5.802; 2.876
 34.1125;      ;6296-681-1  ;288.5409725252;-16.0426216245;  6.17; 0.27;  133.562; 3.029;   21.876; 2.803
 34.5356;      ;6296-594-1  ;288.5369886823;-16.4682257302;  1.05; 0.33;   -7.532; 4.046;   -8.938; 4.060
 34.5839;      ;6296-768-1  ;288.7214973022;-16.7038179255;  0.91; 0.82;   -5.314; 4.406;   -3.991; 4.254
 34.6178;      ;6296-204-1  ;288.4963223159;-16.3266521384;  1.70; 0.34;  -17.095; 6.568;  -27.515; 5.811
 34.8532;      ;6296-782-1  ;289.4822676627;-16.6943283086;  1.48; 1.00;   19.462; 4.224;   -0.303; 3.754
 34.9096;      ;6296-1895-1 ;289.6411314825;-16.4970335044;  1.07; 0.42;   -4.570; 0.902;   -8.226; 0.892
 35.2076;      ;6296-1971-1 ;289.6842926645;-16.1056390125;  1.12; 0.31;   -1.977; 2.737;   -3.561; 2.752
 35.2649;      ;6296-1601-1 ;289.6762866694;-16.0750713688;  0.68; 0.59;    3.805; 2.086;  -11.825; 2.146
 35.9483;      ;6296-1999-1 ;289.5454183419;-16.6622458533;  0.90; 0.36;   -4.960; 2.537;   -4.286; 2.321
 36.0878;      ;6296-508-1  ;288.4984837896;-16.4431562660;  2.14; 0.42;   -1.077; 4.854;  -10.017; 3.993
 36.2091;      ;6296-106-1  ;289.0739724901;-16.8532351587;  3.90; 0.53;   -4.083; 5.664;  -11.413; 5.726
 36.3166;      ;6296-1694-1 ;289.1753038685;-15.6500349731;  2.54; 0.29;    1.727; 3.480;   -4.701; 3.478
 36.3394;      ;6296-707-1  ;288.5007031015;-16.0399233486;  2.54; 0.28;  -11.838; 1.256;  -12.832; 1.237
 36.4916;      ;6296-189-1  ;288.5359660427;-16.5420194821;  0.49; 0.33;   18.138; 5.940;    5.355; 5.266
 36.6391;      ;6296-1912-1 ;289.5909235535;-16.6294554113;  1.72; 0.67;    5.088; 4.434;  -11.455; 4.051
 36.6852;      ;6296-260-1  ;288.9272070073;-15.6594880624;  1.99; 0.44;    0.708; 0.707;   -3.937; 1.019
 36.7354;      ;6296-30-1   ;288.8433633916;-16.8139203344;  2.89; 0.26;   -1.374; 2.561;   -9.845; 2.447
 36.8055;      ;6296-777-1  ;289.3710796843;-15.6983231400;  0.90; 0.40;   -4.505; 7.293;   -8.024; 6.294
 36.8370;      ;6296-85-1   ;288.7615770807;-16.7758572029;  2.42; 0.29;    1.576; 3.035;   -6.643; 2.761
 36.9926;      ;6296-71-1   ;288.7925863680;-16.7956025294;  1.55; 0.41;    2.808; 3.424;   -0.155; 3.122
 37.2468;      ;6296-476-1  ;288.4459181271;-16.2741089733;  0.90; 0.38;   -1.822; 4.380;   -2.542; 3.901
 37.3900;      ;6296-1299-1 ;289.2185864454;-15.6388202336;  0.38; 0.80;   -1.000; 6.787;    4.648; 6.857
 37.6949;      ;6296-888-1  ;289.5599812913;-16.6897350906;  2.89; 0.31;   -0.844; 0.471;  -27.210; 0.487
 38.1716;      ;6296-252-1  ;288.5395008684;-15.8995609299;  0.90; 0.34;    4.844; 2.167;    1.579; 1.968
 38.3841; 94647;            ;288.8885187302;-16.8592506946;  7.16; 0.24;  -15.463; 0.095;  -24.160; 0.051
 38.6787;      ;6300-75-1   ;288.9988440080;-16.8884205014;  2.12; 0.41;    7.742; 3.416;   -4.317; 3.243
 38.7480;      ;6296-563-1  ;288.6805241133;-16.7612249347;  0.82; 0.43;    5.481; 2.898;   -3.823; 2.711
 38.8959;      ;6296-96-1   ;288.8527465047;-16.8563124522;  3.48; 0.32;   -1.150; 2.642;  -27.297; 2.425
 39.1938;      ;6296-300-1  ;288.4189729112;-16.3465219838;  1.07; 0.29;    1.124; 3.497;   -5.198; 3.438
 39.1944;      ;6296-1927-1 ;289.7128709162;-16.5183465028;  2.37; 0.29;    7.885; 2.686;   -5.354; 2.459
 39.3222;      ;6296-1407-1 ;289.0444679652;-15.5962315114;  0.51; 0.62;   -1.330; 0.344;   -5.332; 0.469
 39.4665;      ;6296-183-1  ;288.5113798694;-15.9017046791;  3.84; 0.27;   -1.226; 0.560;  -26.771; 0.613
 39.4781;      ;6296-441-1  ;288.7065793789;-15.7063357078; -0.38; 0.43;    3.066; 2.687;    0.866; 2.433
 39.5083;      ;6296-677-1  ;288.4284619718;-16.0846629767;  2.04; 0.35;   10.252; 3.759;    2.966; 3.339
 39.6977;      ;6300-554-1  ;289.1524913899;-16.9090908955;  1.35; 0.45;   -1.041; 2.443;   -6.475; 2.558
 39.8342;      ;6296-1626-1 ;289.1569827931;-15.5890371065;  1.73; 0.31;  -11.738; 4.245;   -7.743; 4.227
 40.0483;      ;6296-887-1  ;289.1127213596;-15.5828238074;  0.61; 0.42;   -3.285; 2.900;   -0.947; 3.805
 40.1537;      ;6296-566-1  ;288.7141171664;-15.6880190730;  0.58; 0.25;    7.457; 2.935;    1.490; 2.705
