#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-09-26T11:01:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57e8ff761784	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/337&tab:{I/337/tgasptyc}&key:source=I/337/tgasptyc&HTTPPRM:&
#-c=Cl Alessi 62
#-c.eq=J2000
#-c.r=  18
#-c.u=arcmin
#-c.geom=r
#-source=I/337/tgasptyc
#-order=I
#-out.orig=standard
#-out=TYC
#-out=HIP
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#
#INFO	-c=283.954160+21.580280,rm=18.	
#

#RESOURCE=yCat_1337
#Name: I/337
#Title: Gaia DR1 (Gaia Collaboration, 2016)
#Coosys	J2000_2015.000:	eq_FK5 J2000
#Table	I_337_tgasptyc:
#Name: I/337/tgasptyc
#Title: TGAS supplement with BT and VT magnitudes (\originalcolumnnames)
#Column	_r	(F7.4)	Distance from center (283.9541600000+21.5802800000)[FK5/J2000], at Epoch=J2015.0	[ucd=pos.angDistance]
#Column	TYC	(A12)	TYC2 or TYC1 designation	[ucd=meta.id.cross]
#Column	HIP	(I6)	? Hipparcos identifier (\original{hip}) [NULL integer written as an empty string]	[ucd=meta.id.cross]
#Column	RA_ICRS	(F14.10)	Right ascension (ICRS) at epoch 2015.0 (\original{ra})	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F14.10)	Declination (ICRS) at epoch 2015.0 (\original{dec})	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F6.2)	Absolute barycentric stellar parallax of the source at the reference epoch Epoch (\original{parallax})	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Standard error of parallax (\original{parallax_error})	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	Proper motion in right ascension direction (\original{pmRA}) (G5)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Standard error of proper motion in right ascension direction (\original{pmra_error})	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Proper motion in declination direction (\original{pmdec}) (G6)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Standard error of proper motion in declination direction (\original{pmdec_error})	[ucd=stat.error;pos.pm;pos.eq.dec]
_r;TYC;HIP;RA_ICRS;DE_ICRS;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE
11.1006;1596-1993-1 ;      ;283.9020334884;+21.7588355880;  2.08; 0.46;   -1.005; 1.051;   -0.711; 0.584
11.4719;1596-2308-1 ;      ;283.7500028260;+21.6030972706;  1.64; 0.25;    0.024; 0.643;   -0.332; 0.661
12.1585;1596-1458-1 ;      ;283.8609384407;+21.3971424202;  0.31; 0.30;   -1.745; 0.626;   -1.133; 0.717
12.1660;1597-267-1  ;      ;284.0855724984;+21.7421384948;  3.73; 0.23;  -15.016; 0.532;  -45.441; 0.540
12.2068;1597-292-1  ;      ;284.1468021081;+21.4839526269;  3.66; 0.26;  -17.608; 0.773;  -11.376; 0.913
12.4773;1596-1955-1 ;      ;283.9048802181;+21.7831299804;  1.41; 0.26;   -7.750; 0.664;   -8.851; 0.652
12.4898;1597-550-1  ;      ;284.0580217221;+21.7647149863;  0.89; 0.22;   -0.948; 0.553;   -1.998; 0.565
12.7825;1596-106-1  ;      ;283.7259210109;+21.5619702730;  4.04; 0.22;    9.282; 0.490;  -15.558; 0.527
13.5141;1596-1528-1 ;      ;283.9619242292;+21.3551612182;  0.60; 0.24;   -1.687; 0.483;   -2.473; 0.543
13.8305;1597-12-1   ;      ;284.0333081180;+21.3618569115;  3.13; 0.24;   -2.696; 0.599;   -1.073; 0.671
13.8409;1597-411-1  ;      ;284.1718593895;+21.6910224046;  0.49; 0.28;   -7.496; 0.566;  -14.455; 0.649
13.8674;1597-573-1  ;      ;284.1995678935;+21.6170654930;  0.75; 0.24;   -0.646; 0.509;   -9.085; 0.581
14.1348;1596-1677-1 ;      ;283.8300880472;+21.7857192418;  0.79; 0.27;    0.423; 0.686;   -1.197; 0.777
14.2504;1596-1605-1 ;      ;283.7877308472;+21.7605230896;  1.96; 0.24;   -0.998; 0.605;  -10.740; 0.664
14.8839;1596-656-1  ;      ;283.6987272807;+21.5089432740;  0.44; 0.23;   -0.906; 0.491;   -2.091; 0.551
14.9411;1597-212-1  ;      ;284.2054421204;+21.4943908320;  1.58; 0.23;    0.183; 0.536;   -0.859; 0.552
15.2349;1597-439-1  ;      ;284.0982061917;+21.7960523746;  2.15; 0.33;   -2.577; 0.519;   -0.537; 0.585
15.8668;1596-1985-1 ;      ;283.6938138550;+21.6868821240;  1.17; 0.66;   -2.862; 1.499;    0.095; 1.741
16.0770;1597-211-1  ;      ;284.0106889744;+21.8430328283;  0.74; 0.32;   -1.993; 0.895;  -11.818; 0.958
16.1551;1596-1672-1 ;      ;283.6837335636;+21.4842729144;  0.72; 0.23;   -0.766; 0.519;   -1.729; 0.515
16.2236;1596-1473-1 ;      ;283.9753940719;+21.8499530153;  1.24; 0.30;    2.723; 0.761;   -5.614; 0.755
17.0622;1597-545-1  ;      ;284.1804535947;+21.7717064208;  1.48; 0.25;   -1.393; 0.487;   -7.123; 0.544
17.3361;1597-461-1  ;      ;284.2071331652;+21.7482386646;  0.62; 0.26;   -1.247; 0.556;   -5.304; 0.537
17.5056;1596-802-1  ;      ;283.8672838499;+21.2999493061;  1.01; 0.26;   -1.803; 0.531;   -0.935; 0.572
17.5851;1596-850-1  ;      ;283.6954410411;+21.4130914124;  1.35; 0.23;   -2.301; 0.413;    0.106; 0.454
17.6130;1596-1018-1 ;      ;283.6385114691;+21.5845571530;  2.21; 0.23;  -15.218; 0.528;  -15.872; 0.564

